x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,etiqueta
0.756093,0.7359629,5.397588e-10,0.7086909,0.6936823,-0.050756257,0.6732152,0.57589626,-0.062629014,0.6655864,0.45342433,-0.067881405,0.667979,0.37554824,-0.0670688,0.6981895,0.47534776,-0.005403539,0.70852375,0.39553136,-0.020717518,0.71125174,0.48395568,-0.020997897,0.7089991,0.5227074,-0.02024903,0.7378697,0.47944233,0.007374532,0.7456172,0.39756495,-0.027546944,0.74090636,0.517385,-0.040654857,0.7356936,0.53589225,-0.036985323,0.77211475,0.488668,0.012097079,0.7829833,0.40804726,-0.028277406,0.77334774,0.51187086,-0.040654622,0.7672286,0.54044986,-0.034412842,0.8059314,0.49895266,0.0128068905,0.815608,0.4383789,-0.01009744,0.8060281,0.5034666,-0.019104777,0.7986674,0.530736,-0.017766522,A
0.74737364,0.72858024,1.1212565e-09,0.6998226,0.69163656,-0.04713577,0.66509426,0.57428837,-0.056373954,0.65774834,0.4514657,-0.059274983,0.6574431,0.3769675,-0.056237113,0.6880449,0.47658575,-0.001423452,0.6973697,0.3959791,-0.014470271,0.7011855,0.48529816,-0.01340863,0.6994567,0.5236389,-0.011854031,0.72758126,0.47884786,0.01080759,0.7332123,0.3971818,-0.022046166,0.72938526,0.51547354,-0.034425955,0.72481537,0.5347915,-0.030385323,0.76153696,0.48728004,0.015511572,0.7708864,0.40816563,-0.022677554,0.76219994,0.5135827,-0.03407286,0.75707215,0.5442257,-0.027291225,0.7954814,0.49535796,0.016526077,0.80494523,0.43489575,-0.004526121,0.7961273,0.5010892,-0.012600989,0.7892945,0.5282462,-0.010671678,A
0.74017704,0.7353695,1.1052965e-09,0.6913331,0.69616055,-0.046533942,0.6550578,0.5807584,-0.055753823,0.64679945,0.45978385,-0.05911731,0.64778423,0.38520125,-0.056386292,0.6787757,0.4832215,0.0016970573,0.6872965,0.40470517,-0.010909478,0.69099164,0.49320474,-0.010060913,0.6894929,0.52974796,-0.008761878,0.71827096,0.48498067,0.013147457,0.7232343,0.4042675,-0.018941933,0.71988606,0.5202517,-0.031605802,0.7159713,0.53706956,-0.027841426,0.7522482,0.49295384,0.016876753,0.7610699,0.41542596,-0.020515999,0.7523443,0.51799434,-0.031991106,0.74787354,0.54498196,-0.025433453,0.7865936,0.501564,0.016842976,0.7953373,0.44089007,-0.0036624426,0.78576404,0.50585556,-0.01144123,0.7792452,0.5321404,-0.009382756,A
0.71205676,0.74707323,-2.8597238e-10,0.66518056,0.70821947,-0.0435623,0.62941885,0.59220386,-0.05352408,0.62012166,0.47598174,-0.058466937,0.6226183,0.40106896,-0.05768058,0.65453583,0.49836785,-0.0010785925,0.65810335,0.4201429,-0.014402918,0.66078305,0.50743544,-0.013388253,0.6614345,0.544027,-0.011832592,0.6931126,0.500961,0.008256044,0.6948032,0.41925636,-0.024512408,0.6906946,0.5348437,-0.0357487,0.6898955,0.5555794,-0.031041563,0.72687,0.50964165,0.01040575,0.7316794,0.43205017,-0.02629562,0.7221431,0.533198,-0.035062306,0.7217988,0.5617889,-0.027311414,0.760959,0.51918304,0.00882446,0.7655165,0.4583331,-0.011213904,0.75476557,0.5232694,-0.017143838,0.75182664,0.55065936,-0.014006569,A
0.70864666,0.737928,2.5656846e-10,0.6618049,0.70146686,-0.045045476,0.6254618,0.5866702,-0.055681232,0.61519045,0.47015473,-0.0607757,0.6168683,0.39514065,-0.06029874,0.6490925,0.49156028,-0.0048870323,0.65449584,0.41149488,-0.01963877,0.65785307,0.49760917,-0.019265858,0.6582587,0.53626907,-0.01787676,0.68790925,0.49450555,0.0054010516,0.6909076,0.4116154,-0.028918846,0.68683946,0.52776456,-0.040684663,0.68495166,0.5506775,-0.036155075,0.72183365,0.5029551,0.008558267,0.72764397,0.4249861,-0.02972921,0.7180266,0.5265364,-0.03905212,0.71619856,0.5565452,-0.031441677,0.75570863,0.51098365,0.007974884,0.76111376,0.44786334,-0.0136375455,0.7509422,0.51429313,-0.020197496,0.746988,0.5435163,-0.017316753,A
0.68856686,0.7337909,2.9055597e-10,0.6410338,0.7055124,-0.046442658,0.60372126,0.5847745,-0.056296114,0.59474826,0.46549937,-0.06023521,0.5974507,0.3920582,-0.05869855,0.6287517,0.49216682,-0.005033672,0.6320946,0.40831113,-0.018020548,0.6363161,0.4961874,-0.016519416,0.6371925,0.5354908,-0.014738963,0.66729313,0.4926673,0.006489659,0.6679088,0.4079602,-0.025212009,0.6651332,0.5227228,-0.03648145,0.66477495,0.5480146,-0.032174036,0.7002987,0.49937716,0.010920533,0.7048352,0.41965622,-0.024721907,0.6961646,0.5218522,-0.03417812,0.69528073,0.55306065,-0.027361289,0.73355174,0.5063659,0.011446022,0.73887306,0.44690526,-0.008422121,0.7296538,0.5155565,-0.014889516,0.7267097,0.5457507,-0.012221107,A
0.6716278,0.72526926,-5.570508e-10,0.62468016,0.7006016,-0.0453354,0.5874727,0.5762402,-0.056113355,0.57841754,0.45581943,-0.06150489,0.5805484,0.38208193,-0.061456386,0.61166203,0.48362458,-0.006767389,0.61383253,0.40212074,-0.021208594,0.61844414,0.48832968,-0.020075858,0.62018436,0.525146,-0.018320918,0.64990693,0.48360774,0.003039193,0.64935356,0.40120366,-0.029135678,0.6469288,0.5161558,-0.038803477,0.6476902,0.54003775,-0.033331107,0.6829897,0.4900894,0.005771541,0.68630695,0.4131773,-0.029691147,0.67760426,0.51734567,-0.035953708,0.6784577,0.5485603,-0.02704204,0.717169,0.4974897,0.0043433523,0.7205719,0.43846145,-0.0152209345,0.71079224,0.5084313,-0.019332675,0.7092466,0.53825545,-0.01477945,A
0.65002966,0.7306867,6.9204265e-10,0.6022723,0.6948545,-0.042655442,0.5662973,0.5760979,-0.052181236,0.55842674,0.45968425,-0.056759287,0.5609773,0.3849251,-0.056066673,0.5912316,0.48888317,-0.0027716071,0.59498805,0.40778202,-0.016162667,0.5978773,0.49382755,-0.015093621,0.59849745,0.53372824,-0.013345694,0.62954545,0.49085525,0.0065448033,0.63085014,0.406614,-0.025061129,0.62669873,0.5205396,-0.036044355,0.6264644,0.5472658,-0.031695765,0.6627736,0.4984437,0.008984455,0.66730344,0.41943002,-0.026354354,0.65741235,0.5190979,-0.03501904,0.657154,0.5515239,-0.027950251,0.69656336,0.5052138,0.007733035,0.7002043,0.44559962,-0.011730423,0.6899987,0.5118791,-0.01738152,0.6877431,0.54228145,-0.014363288,A
0.63670254,0.7320895,4.8127516e-11,0.58939403,0.69538385,-0.042278975,0.553633,0.579134,-0.051350072,0.545074,0.46299148,-0.055665098,0.5477481,0.38940144,-0.05456355,0.57907385,0.48927537,-0.00017531739,0.58223027,0.4099975,-0.013494265,0.5845012,0.49674731,-0.012590837,0.58598375,0.5345507,-0.010990054,0.61728305,0.49202025,0.008672165,0.61756426,0.4085685,-0.023982668,0.6125125,0.52364594,-0.03565949,0.61330926,0.54821515,-0.031308983,0.65042096,0.5006555,0.010494867,0.6539026,0.4225579,-0.026259014,0.64302725,0.5239813,-0.035199817,0.6440992,0.55469793,-0.027694657,0.68422836,0.508387,0.008682671,0.687118,0.44633865,-0.011863215,0.67598283,0.5137561,-0.017725866,0.67463875,0.54395455,-0.014540104,A
0.61055017,0.7276861,-2.824774e-10,0.5628138,0.68890834,-0.042246394,0.5266237,0.5729016,-0.051430896,0.5178252,0.45713222,-0.055862606,0.52036315,0.38306057,-0.054730702,0.5536667,0.48345694,-0.0009695609,0.5552043,0.40410596,-0.014262473,0.5569478,0.49093202,-0.01297349,0.55865085,0.52676266,-0.011291165,0.59123313,0.48645762,0.0074429186,0.5905423,0.40347967,-0.025165651,0.58575183,0.5191473,-0.035878092,0.58742857,0.54138273,-0.030977909,0.6235288,0.49479446,0.008771465,0.6257813,0.41723353,-0.028138604,0.6151933,0.51934284,-0.036469404,0.61743593,0.54826164,-0.028572863,0.6565046,0.50300735,0.0064300364,0.6578507,0.44375172,-0.01415544,0.6464046,0.5113152,-0.019920496,0.64588296,0.54040426,-0.016673578,A
